ID,Unternehmen,Geschäftsführer,Branchen,Sitz,Anschrift: Straße,Anschrift: PLZ,Anschrift: City,Anschrift: Land,Stammkapital,Persönliche haftender Gesellschafter (Natürliche Person),Persönliche haftender Gesellschafter (Unternehmen),Leitende Direktoren,Liquidatoren,Gegenstand/Geschäftszweck
amtsgericht-frankfurt-am-main-hrb-125269,Popaj Transport GmbH,Etnik Popaj,Logistics,"Frankfurt am Main, DE",Hugo-Kallenbach-Straße 25,65931,Frankfurt am Main,DE,25000.00 EUR,,,,,"Spedition, Transport."
amtsgericht-hanau-hrb-97077,MH Jet Logistik GmbH,Michael Hoffmann,Logistics,"Hammersbach, DE",Langenbergheimer Straße 8,63546,Hammersbach,DE,25000.00 EUR,,,,,"die reine Vermittlung von Frachten, insbesondere im Luftfrachtverkehr, sowie die Durchführung der damit verbundenen Logistik."
amtsgericht-mannheim-hrb-735525,Wörns Auktionslogistik GmbH,Thomas Reinhold Emil Wörns,Logistics,"Mannheim, DE",Hasenackerstraße 19-25,68163,Mannheim,DE,25000.00 EUR,,,,,"Abbau von Ladeneinrichtungen und deren Vermarktung, Einlagerung + Vermietung von Lagerflächen."
amtsgericht-mannheim-hrb-721550,VTS Vulkanisier und Transportband Service GmbH,Irfan Genc,Logistics,"Karlsruhe, DE",Am Sandfeld 15a,76149,Karlsruhe,DE,25000.00 EUR,,,,,"Der Vertrieb, die Reparatur und die Montage von Gummi- und PVC-Bändern aller Art; der Vertrieb von Ersatzteilen, Zubehör und Verschleißschutzgummi aller Art."
amtsgericht-mannheim-hrb-726664,MK-Spedition GmbH,"Paul Komarek, Michael Peter Gerome",Logistics,"Karlsruhe, DE",Seydlitzstraße 15,76185,Karlsruhe,DE,25000.00 EUR,,,,,"Internationale Spedition, Umzüge In- / Ausland, Lagerungen."
amtsgericht-mannheim-hrb-731406,Nekic Transport und Bau GmbH,Martin Smit,Logistics,"Karlsruhe, DE",Unterreut 6,76135,Karlsruhe,DE,25000.00 EUR,,,,,"Dienstleistungen im Bereich Transport bis 3,5t, Abriss und Rückbau sowie Abbrucharbeiten, Bodenleger, Kabelverlegung im Hochbau (ohne Anschlussarbeiten), einfache Renovierarbeiten, auf eigene oder fremde Rechnung."
amtsgericht-mannheim-hra-707662,N+K Transporte GmbH & Co. KG,,Logistics,"Mannheim, DE",Jechtinger Weg 12,68239,Mannheim,DE,-,,N+K Verwaltungs GmbH,,,
amtsgericht-darmstadt-hrb-102246,Highway Logistics GmbH,Eyüp Kara,Logistics,"Raunheim, DE",Werrastraße 6,65479,Raunheim,DE,25000.00 EUR,,,,,Transport von Waren mit eigenen und fremden LKW und Speditionen sowie Lagerlogistik
amtsgericht-mannheim-hrb-723646,Ulusoy Transporte GmbH,Arif Arif,Logistics,"Karlsruhe, DE",Bannwaldallee 46,76185,Karlsruhe,DE,25000.00 EUR,,,,,"Logistik / Transporte über 3,5 t (Güterkraftverkehr); Autovermietung; Sprachschule, Import- Export von Textilien und Geschenkartikeln, An- und Verkauf von Kraftfahrzeugen, Gastronomie, Abbruch / Bauarbeiten / Trockenbau, Gebäudereinigung, Hausmeisterdienst, Handel mit Reinigungsmitteln und Hilfsmaterialien."
amtsgericht-aschaffenburg-hrb-11775,ALLOG Alzenau Lager & Logistik UG (haftungsbeschränkt),Roland Kilchenstein,Logistics,"Alzenau, DE",Hanauer Straße 46,63755,Alzenau,DE,3000.00 EUR,,,,,die Durchführung von Speditions- und Lagergeschäften gleich welcher Art sowie die Tätigkeit als Frachtführer im Rahmen der Genehmigungen nach dem GÜKG.
amtsgericht-mannheim-hrb-731085,SFL Transporte GmbH,Petra Müller,Logistics,"Mannheim, DE",Krügerstraße 18,68219,Mannheim,DE,25000.00 EUR,,,,,"Transporte von Tieren und Waren aller Art außer Gefahrgüter, der Handel mit gebrauchten Kraftfahrzeugen aller Art und alle damit im Zusammenhang stehenden Dienstleistungen."
